asset_code,serial_number,brand,model,asset_type,category,purchase_date,purchase_price,warranty_expiry,condition,status,apartment_code
VH-SF-GEN-0006,null,null,Single Seater Sofa,Sofa,Furniture,2024-03-29,5096.66,null,good,inventory,null
VH-SF-GEN-0005,null,null,Two Seater Sofa,Sofa,Furniture,2024-03-28,7500.00,null,good,inventory,null
VH-SF-GEN-0004,null,null,3 Seater Sofa,Sofa,Furniture,2024-03-26,9000.00,null,good,inventory,null
VH-SF-GEN-0003,null,null,Two Seater Sofa,Sofa,Furniture,2023-09-06,7500.00,null,good,inventory,null
VH-SF-GEN-0002,null,null,Three Seater Foam Sofa,Sofa,Furniture,2023-08-31,9000.00,null,good,inventory,null
VH-SF-GEN-0001,null,null,Three Seater Foam Sofa,Sofa,Furniture,2023-08-24,9000.00,null,good,inventory,null
VH-RF-GEN-0002,null,null,Samsung 183L 3★ Digital Inverter,Refrigerator,Appliances,2024-08-02,15290.00,null,good,inventory,null
VH-RF-GEN-0001,null,null,Samsung 183L 3★ Digital Inverter,Refrigerator,Appliances,2024-10-05,14990.00,null,good,inventory,null
VH-PL-GEN-0020,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0019,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0018,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0017,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0016,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0015,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0014,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0013,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0012,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0011,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0010,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0009,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0008,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0007,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0006,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0005,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0004,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0003,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0002,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-PL-GEN-0001,null,null,Duroflex SNUGGLEPILLOW,Pillow,Soft Furnishing,2025-08-07,200.00,null,good,inventory,null
VH-MW-GEN-0003,null,null,Voltas Bekko MS17WM 17L,Microwave Oven,Appliances,2023-08-31,4575.42,null,good,inventory,null
VH-MW-GEN-0002,null,null,Panasonic NN-SM25JBFDG 20L Black,Microwave Oven,Appliances,2024-08-02,5390.00,null,good,inventory,null
VH-MW-GEN-0001,null,null,Panasonic NN-SM25JBFDG 20L Black,Microwave Oven,Appliances,2024-10-08,5440.00,null,good,inventory,null
VH-MA-GEN-0030,null,null,Ortho Foam Mattress 72x36x6,Mattress,Furniture,2025-04-16,3813.56,null,good,inventory,null
VH-MA-GEN-0029,null,null,Ortho Foam Mattress 72x36x6,Mattress,Furniture,2025-04-16,3813.56,null,good,inventory,null
VH-MA-GEN-0028,null,null,Ortho Foam Mattress 72x36x6,Mattress,Furniture,2025-04-16,3813.56,null,good,inventory,null
VH-MA-GEN-0027,null,null,Ortho Foam Mattress 72x36x6,Mattress,Furniture,2025-04-16,3813.56,null,good,inventory,null
VH-MA-GEN-0026,null,null,Ortho Foam Mattress 72x36x6,Mattress,Furniture,2025-04-16,3813.56,null,good,inventory,null
VH-MA-GEN-0025,null,null,Ortho Foam Mattress 75x36x6,Mattress,Furniture,2024-03-29,3983.05,null,good,inventory,null
VH-MA-GEN-0024,null,null,Ortho Foam Mattress 75x36x6,Mattress,Furniture,2024-03-29,3983.05,null,good,inventory,null
VH-MA-GEN-0023,null,null,Ortho Foam Mattress 75x36x6,Mattress,Furniture,2024-03-29,3983.05,null,good,inventory,null
VH-MA-GEN-0022,null,null,Ortho Foam Mattress 75x36x6,Mattress,Furniture,2024-03-29,3983.05,null,good,inventory,null
VH-MA-GEN-0021,null,null,Ortho Foam Mattress 75x36x6,Mattress,Furniture,2024-03-29,3983.05,null,good,inventory,null
VH-MA-GEN-0020,null,null,Ortho Foam Mattress 75x36x6,Mattress,Furniture,2024-03-29,3983.05,null,good,inventory,null
VH-MA-GEN-0019,null,null,Ortho Foam Mattress 75x36x6,Mattress,Furniture,2024-03-29,3983.05,null,good,inventory,null
VH-MA-GEN-0018,null,null,Ortho Foam Mattress 75x36x6,Mattress,Furniture,2024-03-29,3983.05,null,good,inventory,null
VH-MA-GEN-0017,null,null,Ortho Foam Mattress 75x36x6,Mattress,Furniture,2024-03-29,3983.05,null,good,inventory,null
VH-MA-GEN-0016,null,null,Ortho Foam Mattress 75x36x6,Mattress,Furniture,2024-03-29,3983.05,null,good,inventory,null
VH-MA-GEN-0015,null,null,Ortho Foam Mattress,Mattress,Furniture,2024-03-26,3983.05,null,good,inventory,null
VH-MA-GEN-0014,null,null,Ortho Foam Mattress,Mattress,Furniture,2024-03-26,3983.05,null,good,inventory,null
VH-MA-GEN-0013,null,null,Ortho Foam Mattress,Mattress,Furniture,2024-03-26,3983.05,null,good,inventory,null
VH-MA-GEN-0012,null,null,Ortho Foam Mattress,Mattress,Furniture,2024-03-26,3983.05,null,good,inventory,null
VH-MA-GEN-0011,null,null,Ortho Foam Mattress,Mattress,Furniture,2024-03-26,3983.05,null,good,inventory,null
VH-MA-GEN-0010,null,null,Ortho Foam Mattress,Mattress,Furniture,2024-03-26,3983.05,null,good,inventory,null
VH-MA-GEN-0009,null,null,Ortho Foam Mattress,Mattress,Furniture,2024-03-26,3983.05,null,good,inventory,null
VH-MA-GEN-0008,null,null,Ortho Foam Mattress,Mattress,Furniture,2024-03-26,3983.05,null,good,inventory,null
VH-MA-GEN-0007,null,null,Ortho Foam Mattress,Mattress,Furniture,2024-03-26,3983.05,null,good,inventory,null
VH-MA-GEN-0006,null,null,Ortho Foam Mattress,Mattress,Furniture,2024-03-26,3983.05,null,good,inventory,null
VH-MA-GEN-0005,null,null,72*36 Duroflex Foam Bed,Mattress,Furniture,2024-10-23,4700.00,null,good,inventory,null
VH-MA-GEN-0004,null,null,72*36 Duroflex Foam Bed,Mattress,Furniture,2024-10-23,4700.00,null,good,inventory,null
VH-MA-GEN-0003,null,null,72*36 Duroflex Foam Bed,Mattress,Furniture,2024-10-23,4700.00,null,good,inventory,null
VH-MA-GEN-0002,null,null,72*36 Duroflex Foam Bed,Mattress,Furniture,2024-10-23,4700.00,null,good,inventory,null
VH-MA-GEN-0001,null,null,72*36 Duroflex Foam Bed,Mattress,Furniture,2024-10-23,4700.00,null,good,inventory,null
VH-IS-GEN-0001,null,null,Impex Omega H6A DX 2000W,Induction Stove,Appliances,2023-08-31,1677.97,null,good,inventory,null
VH-DT-GEN-0020,null,null,D-Max Chair Red Black Dining,Dining Table,Furniture,2024-04-03,1590.00,null,good,inventory,null
VH-DT-GEN-0019,null,null,D-Max Chair Red Black Dining,Dining Table,Furniture,2024-04-03,1590.00,null,good,inventory,null
VH-DT-GEN-0018,null,null,D-Max Chair Red Black Dining,Dining Table,Furniture,2024-04-03,1590.00,null,good,inventory,null
VH-DT-GEN-0017,null,null,D-Max Chair Red Black Dining,Dining Table,Furniture,2024-04-03,1590.00,null,good,inventory,null
VH-DT-GEN-0016,null,null,D-Max Chair Red Black Dining,Dining Table,Furniture,2024-04-03,1590.00,null,good,inventory,null
VH-DT-GEN-0015,null,null,D-Max Chair Red Black Dining,Dining Table,Furniture,2024-04-03,1590.00,null,good,inventory,null
VH-DT-GEN-0014,null,null,D-Max Chair Red Black Dining,Dining Table,Furniture,2024-04-03,1590.00,null,good,inventory,null
VH-DT-GEN-0013,null,null,D-Max Chair Red Black Dining,Dining Table,Furniture,2024-04-03,1590.00,null,good,inventory,null
VH-DT-GEN-0012,null,null,D-Max Chair Red Black Dining,Dining Table,Furniture,2024-04-03,1590.00,null,good,inventory,null
VH-DT-GEN-0011,null,null,D-Max Chair Red Black Dining,Dining Table,Furniture,2024-04-03,1590.00,null,good,inventory,null
VH-DT-GEN-0010,null,null,Marvel Chair,Dining Table,Furniture,2024-11-09,1700.00,null,good,inventory,null
VH-DT-GEN-0009,null,null,Marvel Chair,Dining Table,Furniture,2024-11-09,1700.00,null,good,inventory,null
VH-DT-GEN-0008,null,null,Marvel Chair,Dining Table,Furniture,2024-11-09,1700.00,null,good,inventory,null
VH-DT-GEN-0007,null,null,Marvel Chair,Dining Table,Furniture,2024-11-09,1700.00,null,good,inventory,null
VH-DT-GEN-0006,null,null,Marvel Chair,Dining Table,Furniture,2024-11-09,1700.00,null,good,inventory,null
VH-DT-GEN-0005,null,null,Marvel Chair,Dining Table,Furniture,2024-11-09,1700.00,null,good,inventory,null
VH-DT-GEN-0004,null,null,Marvel Chair,Dining Table,Furniture,2024-11-09,1700.00,null,good,inventory,null
VH-DT-GEN-0003,null,null,Marvel Chair,Dining Table,Furniture,2024-11-09,1700.00,null,good,inventory,null
VH-DT-GEN-0002,null,null,Marvel Chair,Dining Table,Furniture,2024-11-09,1700.00,null,good,inventory,null
VH-DT-GEN-0001,null,null,Marvel Chair,Dining Table,Furniture,2024-11-09,1700.00,null,good,inventory,null
VH-CU-GEN-0001,null,null,Home Sizzler Polyester Curtains (Door+Window),Curtain,Soft Furnishing,2025-08-12,5770.40,null,good,inventory,null
VH-CO-GEN-0041,null,null,Wooden COT 75x36 (6.1/4x3ft),Cot (Bed Frame),Furniture,2023-04-10,8000.00,null,good,inventory,null
VH-CO-GEN-0040,null,null,Wooden COT 75x36 (6.1/4x3ft),Cot (Bed Frame),Furniture,2023-04-10,8000.00,null,good,inventory,null
VH-CO-GEN-0039,null,null,Wooden COT 75x36 (6.1/4x3ft),Cot (Bed Frame),Furniture,2023-04-10,8000.00,null,good,inventory,null
VH-CO-GEN-0038,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0037,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0036,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0035,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0034,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0033,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0032,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0031,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0030,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0029,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0028,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0027,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0026,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0025,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0024,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0023,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0022,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0021,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0020,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0019,null,null,COT,Cot (Bed Frame),Furniture,2024-03-28,4900.00,null,good,inventory,null
VH-CO-GEN-0018,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-25,4700.00,null,good,inventory,null
VH-CO-GEN-0017,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-25,4700.00,null,good,inventory,null
VH-CO-GEN-0016,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-25,4700.00,null,good,inventory,null
VH-CO-GEN-0015,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-25,4700.00,null,good,inventory,null
VH-CO-GEN-0014,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-25,4700.00,null,good,inventory,null
VH-CO-GEN-0013,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-25,4700.00,null,good,inventory,null
VH-CO-GEN-0012,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-25,4700.00,null,good,inventory,null
VH-CO-GEN-0011,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-10,4700.00,null,good,inventory,null
VH-CO-GEN-0010,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-10,4700.00,null,good,inventory,null
VH-CO-GEN-0009,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-10,4700.00,null,good,inventory,null
VH-CO-GEN-0008,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-10,4700.00,null,good,inventory,null
VH-CO-GEN-0007,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-10,4700.00,null,good,inventory,null
VH-CO-GEN-0006,null,null,COT 6x3,Cot (Bed Frame),Furniture,2023-08-10,4700.00,null,good,inventory,null
VH-CO-GEN-0005,null,null,null,Cot (Bed Frame),Furniture,2024-10-23,6900.00,null,good,inventory,null
VH-CO-GEN-0004,null,null,null,Cot (Bed Frame),Furniture,2024-10-23,6900.00,null,good,inventory,null
VH-CO-GEN-0003,null,null,null,Cot (Bed Frame),Furniture,2024-10-23,6900.00,null,good,inventory,null
VH-CO-GEN-0002,null,null,null,Cot (Bed Frame),Furniture,2024-10-23,6900.00,null,good,inventory,null
VH-CO-GEN-0001,null,null,null,Cot (Bed Frame),Furniture,2024-10-23,6900.00,null,good,inventory,null
VH-BS-GEN-0001,null,null,Modern Bedside Table 3 Shelves Dark Brown,Bedside Table,Soft Furnishing,2025-07-29,924.66,null,good,inventory,null
VH-BP-GEN-0002,null,null,null,Bedsheet & Pillow Cover,Soft Furnishing,2024-07-29,1110.88,null,good,inventory,null
VH-BP-GEN-0001,null,null,null,Bedsheet & Pillow Cover,Soft Furnishing,2025-08-08,4268.70,null,good,inventory,null
VH-WH-D41-0002,19020038614026,Venus,3P30,Water Heater,Electrical Systems,null,null,null,good,allocated,null
VH-WH-D41-0001,19020038613868,Venus,3P30,Water Heater,Electrical Systems,null,null,null,good,allocated,null
VH-WM-D41-0002,03WH5PBM503660V,Samsung,WA60M4100HY 01 /TL,Washing Machine,Appliances,null,null,null,good,allocated,null
VH-WM-D41-0001,03WH5PBM503660V,Samsung,WA60M4100HY/TL 01,Washing Machine,Appliances,null,null,null,good,allocated,null
VH-TV-D41-0001,null,null,null,TV,Electrical Systems,null,null,null,good,allocated,null
VH-ST-D41-0004,null,null,null,Study Table,Furniture,null,null,null,good,allocated,null
VH-ST-D41-0003,null,null,null,Study Table,Furniture,null,null,null,good,allocated,null
VH-ST-D41-0002,null,null,null,Study Table,Furniture,null,null,null,good,allocated,null
VH-ST-D41-0001,null,null,null,Study Table,Furniture,null,null,null,good,allocated,null
VH-SF-D41-0001,null,null,null,Sofa,Furniture,null,null,null,good,allocated,null
VH-SS-D41-0001,null,null,null,Shoe Stand,Furniture,null,null,null,good,allocated,null
VH-RO-D41-0001,null,Aqua Mars,null,RO Water Purifier,Kitchen & Dining,2025-02-02,7000.00,null,good,allocated,null
VH-RF-D41-0001,null,Samsung,RR20N1Y1ZSE/HL/2019,Refrigerator,Appliances,null,null,null,good,allocated,null
VH-MW-D41-0002,0BFE7WDM502757L,Samsung,MS23K3513AK/TL MAY-2019,Microwave Oven,Appliances,null,null,null,good,allocated,null
VH-MW-D41-0001,0BFE7WDM502757L,Samsung,MS23K3513AK/TL,Microwave Oven,Appliances,null,null,null,good,allocated,null
VH-MA-D41-0008,null,null,null,Mattress,Furniture,null,null,null,good,allocated,null
VH-MA-D41-0007,null,null,null,Mattress,Furniture,null,null,null,good,allocated,null
VH-MA-D41-0006,null,null,null,Mattress,Furniture,null,null,null,new,allocated,null
VH-MA-D41-0005,null,null,null,Mattress,Furniture,null,null,null,new,allocated,null
VH-MA-D41-0004,null,null,null,Mattress,Furniture,null,null,null,good,allocated,null
VH-MA-D41-0003,null,null,null,Mattress,Furniture,null,null,null,good,allocated,null
VH-MA-D41-0002,null,null,null,Mattress,Furniture,null,null,null,new,allocated,null
VH-MA-D41-0001,null,null,null,Mattress,Furniture,null,null,null,new,allocated,null
VH-IS-D41-0001,E201 0122 58214,Bajaj,Majesty Slim,Induction Stove,Appliances,null,null,null,good,allocated,null
VH-FN-D41-0003,null,null,null,Fan,Electrical Systems,null,null,null,good,allocated,null
VH-FN-D41-0002,null,null,null,Fan,Electrical Systems,null,null,null,good,allocated,null
VH-FN-D41-0001,null,null,null,Fan,Electrical Systems,null,null,null,good,allocated,null
VH-ST-C43-0003,null,null,null,Study Table,Furniture,null,null,null,good,allocated,null
VH-ST-C43-0002,null,null,null,Study Table,Furniture,null,null,null,good,allocated,null
VH-ST-C43-0001,null,null,null,Study Table,Furniture,null,null,null,good,allocated,null
VH-SF-C43-0001,null,null,null,Sofa,Furniture,null,null,null,good,allocated,null
VH-SS-C43-0001,null,null,null,Shoe Stand,Furniture,null,null,null,good,allocated,null
VH-RO-C43-0001,null,Aqua Mars,null,RO Water Purifier,Kitchen & Dining,2023-03-30,7000.00,null,good,allocated,null
VH-RF-C43-0001,null,Godrej,RD EDGE 205 TRF 2.2/2019,Refrigerator,Appliances,null,null,null,good,allocated,null
VH-MW-C43-0001,5008181015041080,IFB,17PM-MEC1,Microwave Oven,Appliances,null,null,null,good,allocated,null
VH-MA-C43-0005,null,null,null,Mattress,Furniture,null,null,null,good,allocated,null
VH-MA-C43-0004,null,null,null,Mattress,Furniture,null,null,null,new,allocated,null
VH-MA-C43-0003,null,null,null,Mattress,Furniture,null,null,null,good,allocated,null
VH-MA-C43-0002,null,null,null,Mattress,Furniture,null,null,null,new,allocated,null
VH-MA-C43-0001,null,null,New,Mattress,Furniture,null,null,null,good,allocated,null
VH-IS-C43-0001,LI02247943825,Judge,Omega H2a,Induction Stove,Appliances,2025-05-05,1890.00,null,good,allocated,null
VH-FN-C43-0004,null,null,null,Fan,Electrical Systems,null,null,null,good,allocated,null
VH-FN-C43-0003,null,null,null,Fan,Electrical Systems,null,null,null,good,allocated,null
VH-FN-C43-0002,null,null,null,Fan,Electrical Systems,null,null,null,good,allocated,null
VH-FN-C43-0001,null,null,null,Fan,Electrical Systems,null,null,null,good,allocated,null
VH-DT-C43-0001,null,null,null,Dining Table,Furniture,null,null,null,good,allocated,null
VH-CB-C43-0005,null,null,null,Cupboard,Furniture,null,null,null,good,allocated,null
VH-CB-C43-0004,null,null,null,Cupboard,Furniture,null,null,null,good,allocated,null
VH-CB-C43-0003,null,null,null,Cupboard,Furniture,null,null,null,good,allocated,null
VH-CB-C43-0002,null,null,null,Cupboard,Furniture,null,null,null,good,allocated,null
VH-CB-C43-0001,null,null,null,Cupboard,Furniture,null,null,null,good,allocated,null
VH-CO-C43-0005,null,null,null,Cot (Bed Frame),Furniture,null,null,null,good,allocated,null
VH-CO-C43-0004,null,null,null,Cot (Bed Frame),Furniture,null,null,null,good,allocated,null
VH-CO-C43-0003,null,null,null,Cot (Bed Frame),Furniture,null,null,null,good,allocated,null
VH-CO-C43-0002,null,null,null,Cot (Bed Frame),Furniture,null,null,null,good,allocated,null
VH-CO-C43-0001,null,null,null,Cot (Bed Frame),Furniture,null,null,null,good,allocated,null
VH-CH-C43-0003,null,null,null,Chair,Furniture,null,null,null,good,allocated,null
VH-CH-C43-0002,null,null,null,Chair,Furniture,null,null,null,good,allocated,null
VH-CH-C43-0001,null,null,null,Chair,Furniture,null,null,null,good,allocated,null
VH-BS-C43-0002,null,null,null,Bedside Table,Soft Furnishing,null,null,null,good,allocated,null
VH-BS-C43-0001,null,null,null,Bedside Table,Soft Furnishing,null,null,null,good,allocated,null
VH-AC-C43-0003,SE190Q29493,Hitachi,RSG312HCDOBW,Air Conditioner,Appliances,null,null,null,good,allocated,null
